"date";"type";"type_display";"details";"amount"
11/06/2018;"COMMISSIONS";"COMMISSIONS";"Fusce vestibulum purus id congue feugiat";592,79 €
26/03/2017;"COMMISSIONS";"COMMISSIONS";"Fusce vestibulum purus id congue feugiat";-1 435,40 €
19/03/2017;"PAIEMENTCB";"PAIEMENTCB";"Integer ut nisi ornare euismod sapien ac blandit mi";1 581,46 €
04/10/2017;"COMMISSIONS";"COMMISSIONS";"Donec viverra libero nec consectetur vehicula";2 634,25 €
27/10/2019;"COMMISSIONS";"COMMISSIONS";"Cras pretium erat quis vehicula iaculis";3 490,22 €
19/05/2018;"INTERETS";"INTERETS";"Morbi at est tristique tempor lectus nec pulvinar ex";4 534,10 €
22/11/2017;"COMMISSIONS";"COMMISSIONS";"Morbi nec tortor fermentum posuere mauris non aliquet neque";-3 926,37 €
21/05/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";447,66 €
04/12/2017;"CHEQUE";"CHEQUE";"Etiam nec velit quis nulla sagittis fermentum";-2 093,03 €
21/06/2019;"INTERETS";"INTERETS";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";941,94 €
13/07/2017;"COMMISSIONS";"COMMISSIONS";"Curabitur commodo erat id dolor molestie pharetra";1 233,37 €
16/06/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Donec vel lacus nec nisl placerat suscipit";-4 315,14 €
02/10/2017;"CHEQUE";"CHEQUE";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";-1 582,68 €
12/08/2017;"INTERETS";"INTERETS";"Donec nec diam viverra ultrices dui eget cursus est";-4 094,91 €
03/11/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Curabitur in ex ut dui tempus finibus";4 919,23 €
21/02/2017;"INTERETS";"INTERETS";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";-2 985,05 €
14/03/2017;"INTERETS";"INTERETS";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-3 164,25 €
14/11/2019;"CHEQUE";"CHEQUE";"Donec efficitur libero ut mauris congue at sodales urna sodales";-2 259,61 €
28/06/2019;"INTERETS";"INTERETS";"Fusce vestibulum purus id congue feugiat";-552,61 €
01/03/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi tempor augue vel mi blandit molestie";-3 998,00 €
23/03/2018;"COMMISSIONS";"COMMISSIONS";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-1 710,75 €
13/06/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras eget nisi id nibh placerat consectetur";2 092,03 €
21/02/2019;"COMMISSIONS";"COMMISSIONS";"Morbi nec tortor fermentum posuere mauris non aliquet neque";-4 563,02 €
11/08/2019;"INTERETS";"INTERETS";"Cras eget nisi id nibh placerat consectetur";4 311,31 €
26/11/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec efficitur libero ut mauris congue at sodales urna sodales";49,69 €
01/06/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras eget nisi id nibh placerat consectetur";-938,36 €
08/09/2019;"INTERETS";"INTERETS";"Donec quis dolor tempor metus suscipit volutpat";1 976,76 €
10/01/2018;"CHEQUE";"CHEQUE";"In vehicula eros in neque finibus vel cursus turpis finibus";4 842,26 €
19/07/2018;"CHEQUE";"CHEQUE";"Morbi tempor augue vel mi blandit molestie";-4 883,94 €
07/05/2017;"INTERETS";"INTERETS";"Curabitur commodo erat id dolor molestie pharetra";2 931,38 €
03/04/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Lorem ipsum dolor sit amet consectetur adipiscing elit";1 867,09 €
23/05/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-1 887,53 €
07/07/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-3 516,95 €
01/12/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi tempor augue vel mi blandit molestie";-2 449,86 €
19/12/2018;"COMMISSIONS";"COMMISSIONS";"Morbi tempor augue vel mi blandit molestie";749,67 €
01/04/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"In vehicula eros in neque finibus vel cursus turpis finibus";-3 745,43 €
18/02/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi tempor augue vel mi blandit molestie";-4 991,81 €
21/07/2018;"COMMISSIONS";"COMMISSIONS";"Morbi nec tortor fermentum posuere mauris non aliquet neque";1 496,68 €
07/12/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur in ex ut dui tempus finibus";-3 862,79 €
03/06/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras eget nisi id nibh placerat consectetur";-4 521,60 €
08/07/2018;"COMMISSIONS";"COMMISSIONS";"Donec nec diam viverra ultrices dui eget cursus est";2 991,15 €
13/05/2019;"COMMISSIONS";"COMMISSIONS";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";-4 724,98 €
13/01/2017;"INTERETS";"INTERETS";"Donec quis dolor tempor metus suscipit volutpat";1 607,29 €
13/02/2019;"COMMISSIONS";"COMMISSIONS";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";-3 667,16 €
22/09/2019;"CHEQUE";"CHEQUE";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";446,06 €
28/02/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";2 412,73 €
18/03/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Curabitur in ex ut dui tempus finibus";3 693,49 €
15/03/2017;"CHEQUE";"CHEQUE";"Morbi tempor augue vel mi blandit molestie";1 180,50 €
03/03/2019;"INTERETS";"INTERETS";"Donec viverra libero nec consectetur vehicula";-1 324,54 €
05/04/2018;"CHEQUE";"CHEQUE";"Morbi nec tortor fermentum posuere mauris non aliquet neque";-1 709,32 €
16/05/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";442,71 €
19/01/2019;"COMMISSIONS";"COMMISSIONS";"Morbi tempor augue vel mi blandit molestie";3 814,33 €
18/10/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Donec vel lacus nec nisl placerat suscipit";-2 621,83 €
27/04/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";787,97 €
25/01/2018;"INTERETS";"INTERETS";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";-4 515,70 €
21/06/2018;"PAIEMENTCB";"PAIEMENTCB";"In vehicula eros in neque finibus vel cursus turpis finibus";-1 686,03 €
12/12/2019;"INTERETS";"INTERETS";"Cras condimentum libero eu dolor auctor quis malesuada nisi interdum";1 233,78 €
13/02/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Etiam nec velit quis nulla sagittis fermentum";1 634,85 €
18/04/2019;"CHEQUE";"CHEQUE";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";-2 266,90 €
04/09/2018;"INTERETS";"INTERETS";"Curabitur commodo erat id dolor molestie pharetra";-3 071,83 €
02/07/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Cras eget nisi id nibh placerat consectetur";291,94 €
16/01/2017;"COMMISSIONS";"COMMISSIONS";"Fusce varius risus nec mattis suscipit";4 742,11 €
01/07/2018;"COMMISSIONS";"COMMISSIONS";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";-119,62 €
18/01/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-3 399,54 €
26/12/2019;"INTERETS";"INTERETS";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";1 206,56 €
26/05/2017;"CHEQUE";"CHEQUE";"Curabitur elementum sapien id consequat sodales";-138,18 €
08/05/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Cras pretium erat quis vehicula iaculis";-2 354,70 €
18/07/2019;"INTERETS";"INTERETS";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";-1 540,04 €
04/03/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";-3 404,86 €
21/11/2017;"COMMISSIONS";"COMMISSIONS";"Integer ullamcorper sapien eu luctus malesuada";2 809,56 €
15/05/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";-4 645,91 €
27/08/2017;"CHEQUE";"CHEQUE";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";2 076,21 €
21/02/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Fusce varius risus nec mattis suscipit";579,07 €
27/12/2019;"PAIEMENTCB";"PAIEMENTCB";"Cras pretium erat quis vehicula iaculis";-2 154,60 €
28/08/2018;"COMMISSIONS";"COMMISSIONS";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";2 963,53 €
18/02/2017;"INTERETS";"INTERETS";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-4 706,30 €
19/06/2019;"INTERETS";"INTERETS";"Fusce varius risus nec mattis suscipit";-4 410,92 €
03/01/2017;"COMMISSIONS";"COMMISSIONS";"Integer ut nisi ornare euismod sapien ac blandit mi";413,91 €
15/10/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur commodo erat id dolor molestie pharetra";397,97 €
02/01/2019;"PAIEMENTCB";"PAIEMENTCB";"Donec quis dolor tempor metus suscipit volutpat";-1 886,70 €
27/09/2019;"CHEQUE";"CHEQUE";"Cras pretium erat quis vehicula iaculis";-980,62 €
01/11/2017;"COMMISSIONS";"COMMISSIONS";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";-1 092,56 €
28/04/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Cras eget nisi id nibh placerat consectetur";4 291,06 €
24/02/2018;"CHEQUE";"CHEQUE";"Donec quis dolor tempor metus suscipit volutpat";-2 941,68 €
14/10/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur in ex ut dui tempus finibus";-2 525,04 €
14/02/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";-1 390,28 €
15/05/2018;"PAIEMENTCB";"PAIEMENTCB";"Donec efficitur libero ut mauris congue at sodales urna sodales";1 363,53 €
03/11/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Cras condimentum libero eu dolor auctor quis malesuada nisi interdum";-4 360,00 €
09/05/2017;"INTERETS";"INTERETS";"Cras condimentum libero eu dolor auctor quis malesuada nisi interdum";-1 881,94 €
04/08/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras eget nisi id nibh placerat consectetur";1 860,08 €
02/09/2017;"COMMISSIONS";"COMMISSIONS";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";-2 262,47 €
12/12/2017;"INTERETS";"INTERETS";"Morbi at est tristique tempor lectus nec pulvinar ex";4 291,61 €
18/08/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Etiam nec velit quis nulla sagittis fermentum";-3 325,62 €
03/09/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";3 807,42 €
15/06/2017;"INTERETS";"INTERETS";"Donec efficitur libero ut mauris congue at sodales urna sodales";3 920,66 €
07/03/2018;"PAIEMENTCB";"PAIEMENTCB";"Fusce vestibulum purus id congue feugiat";2 688,88 €
11/09/2019;"INTERETS";"INTERETS";"Cras eget nisi id nibh placerat consectetur";120,84 €
14/08/2019;"COMMISSIONS";"COMMISSIONS";"Curabitur elementum sapien id consequat sodales";-2 394,93 €
11/07/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";-1 101,08 €
23/10/2017;"CHEQUE";"CHEQUE";"In vehicula eros in neque finibus vel cursus turpis finibus";2 246,63 €
04/07/2019;"INTERETS";"INTERETS";"Donec viverra libero nec consectetur vehicula";-711,99 €
23/06/2017;"CHEQUE";"CHEQUE";"Morbi tempor augue vel mi blandit molestie";-3 028,21 €
16/09/2017;"COMMISSIONS";"COMMISSIONS";"Cras eget nisi id nibh placerat consectetur";2 651,58 €
03/03/2019;"COMMISSIONS";"COMMISSIONS";"Cras pellentesque neque sed dui tincidunt ultricies";2 808,66 €
15/02/2018;"INTERETS";"INTERETS";"Donec efficitur libero ut mauris congue at sodales urna sodales";-4 457,85 €
20/10/2017;"CHEQUE";"CHEQUE";"Curabitur in ex ut dui tempus finibus";2 537,43 €
26/01/2019;"PAIEMENTCB";"PAIEMENTCB";"Integer ullamcorper sapien eu luctus malesuada";-2 207,92 €
23/10/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";2 682,42 €
25/07/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer ullamcorper sapien eu luctus malesuada";353,80 €
23/09/2018;"INTERETS";"INTERETS";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";4 406,06 €
15/06/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";-4 531,99 €
07/06/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur in ex ut dui tempus finibus";-3 382,69 €
13/05/2018;"CHEQUE";"CHEQUE";"Morbi at est tristique tempor lectus nec pulvinar ex";1 303,60 €
02/09/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";-1 631,69 €
15/02/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Donec efficitur libero ut mauris congue at sodales urna sodales";30,51 €
20/06/2019;"CHEQUE";"CHEQUE";"Morbi at est tristique tempor lectus nec pulvinar ex";719,46 €
17/05/2019;"INTERETS";"INTERETS";"Curabitur elementum sapien id consequat sodales";-2 988,33 €
23/07/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi nec tortor fermentum posuere mauris non aliquet neque";-1 159,13 €
15/11/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";3 973,22 €
24/12/2017;"INTERETS";"INTERETS";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";2 885,55 €
03/06/2017;"INTERETS";"INTERETS";"Integer ut nisi ornare euismod sapien ac blandit mi";-193,98 €
26/06/2019;"COMMISSIONS";"COMMISSIONS";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";-2 016,81 €
21/06/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";4 762,98 €
10/11/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi at est tristique tempor lectus nec pulvinar ex";1 287,40 €
18/05/2018;"COMMISSIONS";"COMMISSIONS";"Curabitur elementum sapien id consequat sodales";-1 886,47 €
07/11/2019;"INTERETS";"INTERETS";"Curabitur in ex ut dui tempus finibus";224,34 €
14/03/2018;"CHEQUE";"CHEQUE";"Morbi in libero quis risus ultricies imperdiet quis ac massa";3 685,63 €
22/12/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi tempor augue vel mi blandit molestie";-4 109,23 €
12/03/2019;"INTERETS";"INTERETS";"Curabitur elementum sapien id consequat sodales";-2 866,63 €
16/10/2019;"INTERETS";"INTERETS";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-636,73 €
07/03/2019;"INTERETS";"INTERETS";"In vehicula eros in neque finibus vel cursus turpis finibus";-3 342,77 €
13/12/2017;"PAIEMENTCB";"PAIEMENTCB";"Morbi in libero quis risus ultricies imperdiet quis ac massa";2 837,61 €
10/01/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"In vehicula eros in neque finibus vel cursus turpis finibus";1 605,71 €
06/09/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Fusce varius risus nec mattis suscipit";2 145,87 €
14/09/2018;"COMMISSIONS";"COMMISSIONS";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-4 724,72 €
06/07/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras pellentesque neque sed dui tincidunt ultricies";2 365,49 €
17/08/2018;"INTERETS";"INTERETS";"Donec viverra libero nec consectetur vehicula";672,43 €
24/09/2019;"PAIEMENTCB";"PAIEMENTCB";"Donec nec diam viverra ultrices dui eget cursus est";2 684,66 €
10/09/2017;"INTERETS";"INTERETS";"Donec quis dolor tempor metus suscipit volutpat";-2 445,39 €
11/05/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi tempor augue vel mi blandit molestie";4 597,94 €
20/05/2017;"INTERETS";"INTERETS";"In vehicula eros in neque finibus vel cursus turpis finibus";-2 695,23 €
03/02/2019;"INTERETS";"INTERETS";"Cras condimentum libero eu dolor auctor quis malesuada nisi interdum";2 944,09 €
13/06/2017;"INTERETS";"INTERETS";"Donec quis dolor tempor metus suscipit volutpat";-4 906,72 €
27/05/2018;"INTERETS";"INTERETS";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";4 352,17 €
20/12/2019;"PAIEMENTCB";"PAIEMENTCB";"Curabitur elementum sapien id consequat sodales";-1 654,01 €
05/04/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec efficitur libero ut mauris congue at sodales urna sodales";1 660,95 €
07/09/2017;"CHEQUE";"CHEQUE";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";4 271,59 €
01/06/2019;"PAIEMENTCB";"PAIEMENTCB";"Curabitur commodo erat id dolor molestie pharetra";-1 759,48 €
09/02/2019;"COMMISSIONS";"COMMISSIONS";"In vehicula eros in neque finibus vel cursus turpis finibus";1 570,22 €
23/01/2019;"INTERETS";"INTERETS";"Morbi nec tortor fermentum posuere mauris non aliquet neque";2 699,34 €
01/01/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Curabitur in ex ut dui tempus finibus";4 219,38 €
06/03/2018;"PAIEMENTCB";"PAIEMENTCB";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-2 936,91 €
04/03/2018;"COMMISSIONS";"COMMISSIONS";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";1 312,15 €
27/08/2019;"COMMISSIONS";"COMMISSIONS";"Morbi nec tortor fermentum posuere mauris non aliquet neque";983,98 €
04/01/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi nec tortor fermentum posuere mauris non aliquet neque";2 244,46 €
06/03/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec efficitur libero ut mauris congue at sodales urna sodales";-4 221,56 €
22/01/2018;"COMMISSIONS";"COMMISSIONS";"Donec nec diam viverra ultrices dui eget cursus est";-507,43 €
26/06/2018;"INTERETS";"INTERETS";"Curabitur commodo erat id dolor molestie pharetra";-397,01 €
06/04/2019;"PAIEMENTCB";"PAIEMENTCB";"Morbi tempor augue vel mi blandit molestie";-4 768,83 €
21/04/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Cras pellentesque neque sed dui tincidunt ultricies";-1 294,17 €
26/02/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";-311,29 €
08/03/2018;"INTERETS";"INTERETS";"Donec viverra libero nec consectetur vehicula";4 442,04 €
28/03/2018;"COMMISSIONS";"COMMISSIONS";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";2 295,02 €
04/11/2017;"INTERETS";"INTERETS";"Curabitur commodo erat id dolor molestie pharetra";-3 560,73 €
01/02/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Cras condimentum libero eu dolor auctor quis malesuada nisi interdum";4 090,64 €
05/09/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Cras pretium erat quis vehicula iaculis";3 232,23 €
08/03/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi at est tristique tempor lectus nec pulvinar ex";-3 263,66 €
24/03/2017;"PAIEMENTCB";"PAIEMENTCB";"Integer ullamcorper sapien eu luctus malesuada";663,80 €
13/06/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Integer ut nisi ornare euismod sapien ac blandit mi";-1 714,46 €
19/01/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";4 126,83 €
10/03/2019;"COMMISSIONS";"COMMISSIONS";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";-4 936,34 €
20/08/2017;"COMMISSIONS";"COMMISSIONS";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";36,34 €
25/07/2017;"COMMISSIONS";"COMMISSIONS";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";-153,38 €
18/03/2019;"COMMISSIONS";"COMMISSIONS";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";1 163,34 €
02/08/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi tempor augue vel mi blandit molestie";984,65 €
20/05/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Lorem ipsum dolor sit amet consectetur adipiscing elit";3 755,84 €
09/08/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi tempor augue vel mi blandit molestie";720,99 €
22/09/2019;"CHEQUE";"CHEQUE";"Morbi at est tristique tempor lectus nec pulvinar ex";-2 676,86 €
27/07/2017;"CHEQUE";"CHEQUE";"Cras pretium erat quis vehicula iaculis";4 312,96 €
28/04/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec nec diam viverra ultrices dui eget cursus est";-1 300,24 €
19/02/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";-2 571,97 €
26/09/2017;"COMMISSIONS";"COMMISSIONS";"Donec efficitur libero ut mauris congue at sodales urna sodales";-3 186,45 €
12/02/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Lorem ipsum dolor sit amet consectetur adipiscing elit";-454,93 €
09/12/2017;"COMMISSIONS";"COMMISSIONS";"Donec viverra libero nec consectetur vehicula";-4 066,16 €
20/09/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";-4 592,57 €
26/09/2019;"INTERETS";"INTERETS";"Fusce vestibulum purus id congue feugiat";-2 313,61 €
21/08/2019;"INTERETS";"INTERETS";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";2 061,46 €
01/02/2017;"INTERETS";"INTERETS";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-3 756,19 €
23/07/2019;"COMMISSIONS";"COMMISSIONS";"Cras pellentesque neque sed dui tincidunt ultricies";-1 585,04 €
14/04/2019;"PAIEMENTCB";"PAIEMENTCB";"Lorem ipsum dolor sit amet consectetur adipiscing elit";1 515,63 €
28/04/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi at est tristique tempor lectus nec pulvinar ex";-3 018,24 €
13/09/2019;"INTERETS";"INTERETS";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";-179,18 €
07/02/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Curabitur in ex ut dui tempus finibus";3 008,73 €
22/01/2017;"COMMISSIONS";"COMMISSIONS";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";-569,85 €
09/01/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras pretium erat quis vehicula iaculis";-2 600,87 €
17/05/2017;"COMMISSIONS";"COMMISSIONS";"Morbi at est tristique tempor lectus nec pulvinar ex";3 830,39 €
11/11/2019;"INTERETS";"INTERETS";"Etiam nec velit quis nulla sagittis fermentum";2 492,16 €
03/03/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";-2 576,24 €
23/12/2017;"COMMISSIONS";"COMMISSIONS";"Lorem ipsum dolor sit amet consectetur adipiscing elit";4 082,81 €
18/11/2018;"INTERETS";"INTERETS";"Donec efficitur libero ut mauris congue at sodales urna sodales";2 353,84 €
11/10/2019;"INTERETS";"INTERETS";"Lorem ipsum dolor sit amet consectetur adipiscing elit";3 126,47 €
04/10/2017;"CHEQUE";"CHEQUE";"Morbi tempor augue vel mi blandit molestie";-4 068,74 €
12/02/2017;"COMMISSIONS";"COMMISSIONS";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-719,98 €
22/09/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";741,39 €
14/02/2017;"INTERETS";"INTERETS";"Curabitur commodo erat id dolor molestie pharetra";-3 152,29 €
22/06/2019;"CHEQUE";"CHEQUE";"Lorem ipsum dolor sit amet consectetur adipiscing elit";1 649,27 €
10/08/2018;"INTERETS";"INTERETS";"Morbi in libero quis risus ultricies imperdiet quis ac massa";4 301,06 €
01/04/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec vel lacus nec nisl placerat suscipit";3 033,52 €
09/04/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Curabitur in ex ut dui tempus finibus";329,85 €
09/05/2018;"PAIEMENTCB";"PAIEMENTCB";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";4 016,35 €
27/02/2017;"PAIEMENTCB";"PAIEMENTCB";"In vehicula eros in neque finibus vel cursus turpis finibus";3 455,15 €
28/05/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur elementum sapien id consequat sodales";2 698,43 €
18/05/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi in libero quis risus ultricies imperdiet quis ac massa";34,57 €
06/09/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";1 603,53 €
19/12/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi tempor augue vel mi blandit molestie";-652,36 €
08/02/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";-1 761,04 €
22/08/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";-3 444,02 €
08/09/2017;"COMMISSIONS";"COMMISSIONS";"Etiam nec velit quis nulla sagittis fermentum";2 395,40 €
05/03/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras pretium erat quis vehicula iaculis";30,80 €
18/05/2019;"INTERETS";"INTERETS";"Curabitur in ex ut dui tempus finibus";3 598,64 €
23/10/2018;"COMMISSIONS";"COMMISSIONS";"Etiam nec velit quis nulla sagittis fermentum";-767,40 €
22/05/2018;"INTERETS";"INTERETS";"Integer ut nisi ornare euismod sapien ac blandit mi";3 832,66 €
16/04/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur commodo erat id dolor molestie pharetra";-2 816,35 €
16/12/2018;"CHEQUE";"CHEQUE";"Morbi nec tortor fermentum posuere mauris non aliquet neque";2 927,85 €
20/06/2019;"CHEQUE";"CHEQUE";"Integer ut nisi ornare euismod sapien ac blandit mi";-958,33 €
27/09/2018;"COMMISSIONS";"COMMISSIONS";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-3 741,63 €
